Img_name,Global_score
img0,0
img1,0
img2,0
img3,0
img4,0
img5,6.0
img6,5.0
img7,0
img8,5.0
img9,0
img10,0
img11,5.33
img12,0
img13,2.67
img14,0
img15,0
img16,6.33
img17,0
img18,6.0
img19,0
img20,0
img21,0
img22,0
img23,0
img24,0
img25,6.0
img26,6.0
img27,4.0
img28,0
img29,2.67
img30,0
img31,0
img32,0
img33,0
img34,0
img35,0
img36,4.67
img37,0
img38,0
img39,0
img40,6.0
img41,0
img42,5.67
img43,0
img44,8.0
img45,0
img46,0
img47,0
img48,0
img49,6.33
img50,3.33
img51,0
img52,0
img53,0
img54,0
img55,2.67
img56,0
img57,0
img58,0
img59,3.0
img60,3.33
img61,0
img62,0
img63,6.0
img64,0
img65,0
img66,0
img67,8.0
img68,6.33
img69,0
img70,0
img71,4.0
img72,0
img73,0
img74,3.33
img75,8.0
img76,5.67
img77,0
img78,0
img79,0
img80,0
img81,2.67
img82,0
img83,0
img84,3.33
img85,2.67
img86,0
img87,4.33
img88,0
img89,2.67
img90,0
img91,0
img92,0
img93,0
img94,0
img95,0
img96,0
img97,4.0
img98,0
img99,0
img100,6.0
img101,0
img102,6.33
img103,0
img104,6.33
img105,0
img106,4.33
img107,0
img108,0
img109,0
img110,0
img111,0
img112,0
img113,0
img114,3.33
img115,6.0
img116,0
img117,0
img118,0
img119,5.67
img120,0
img121,4.33
img122,0
img123,6.0
img124,6.0
img125,4.67
img126,0
img127,6.0
img128,8.0
img129,3.33
img130,0
img131,4.0
img132,0
img133,8.0
img134,0
img135,5.33
img136,4.67
img137,0
img138,0
img139,5.67
img140,0
img141,4.33
img142,0
img143,0
img144,0
img145,4.33
img146,0
img147,4.0
img148,0
img149,0
img150,0
img151,0
img152,0
img153,0
img154,0
img155,0
img156,0
img157,6.0
img158,7.33
img159,0
img160,0
img161,0
img162,2.67
img163,0
img164,0
img165,5.0
img166,0
img167,0
img168,0
img169,2.67
img170,4.33
img171,4.0
img172,4.33
img173,0
img174,0
img175,0
img176,0
img177,0
img178,0
img179,4.0
img180,1.33
img181,0
img182,4.0
img183,3.33
img184,0
img185,4.33
img186,3.33
img187,0
img188,0
img189,4.0
img190,0
img191,7.0
img192,0
img193,0
img194,0
img195,0
img196,0
img197,0
img198,0
img199,0
img200,0
img201,0
img202,6.0
img203,0
img204,0
img205,2.67
img206,2.67
img207,0
img208,0
img209,0
img210,2.67
img211,4.0
img212,0
img213,7.0
img214,8.0
img215,0
img216,0
img217,0
img218,0
img219,0
img220,5.0
img221,8.0
img222,0
img223,0
img224,0
img225,7.0
img226,0
img227,5.67
img228,3.33
img229,0
img230,4.0
img231,0
img232,5.33
img233,0
img234,0
img235,0
img236,3.33
img237,4.67
img238,0
img239,0
img240,0
img241,4.33
img242,0
img243,0
img244,0
img245,8.0
img246,3.33
img247,0
img248,0
img249,2.67
img250,0
img251,0
img252,5.0
img253,2.67
img254,3.33
img255,2.67
img256,0
img257,3.33
img258,2.33
img259,0
img260,0
img261,6.0
img262,0
img263,4.0
img264,4.33
img265,0
img266,0
img267,4.0
img268,0
img269,0
img270,0
img271,0
img272,0
img273,0
img274,0
img275,5.0
img276,7.0
img277,0
img278,3.33
img279,0
img280,6.0
img281,0
img282,0
img283,4.0
img284,6.0
img285,6.0
img286,0
img287,5.33
img288,0
img289,0
img290,3.0
img291,0
img292,0
img293,6.0
img294,0
img295,0
img296,0
img297,8.0
img298,0
img299,4.67
img300,5.0
img301,5.0
img302,6.0
img303,0
img304,0
img305,0
img306,0
img307,0
img308,5.0
img309,0
img310,4.0
img311,0
img312,4.33
img313,4.67
img314,0
img315,0
img316,0
img317,4.33
img318,0
img319,4.0
img320,6.0
img321,0
img322,5.0
img323,0
img324,4.0
img325,8.0
img326,0
img327,0
img328,0
img329,4.33
img330,2.67
img331,0
img332,0
img333,0
img334,2.67
img335,6.33
img336,0
img337,0
img338,0
img339,0
img340,4.0
img341,8.0
img342,6.0
img343,0
img344,8.0
img345,0
img346,0
img347,8.0
img348,0
img349,0
img350,0
img351,4.33
img352,0
img353,0
img354,0
img355,0
img356,0
img357,3.33
img358,0
img359,2.0
img360,0
img361,0
img362,3.33
img363,0
img364,0
img365,3.33
img366,0
img367,0
img368,0
img369,0
img370,4.0
img371,5.0
img372,0
img373,0
img374,6.0
img375,0
img376,0
img377,0
img378,5.0
img379,0
img380,2.67
img381,2.67
img382,0
img383,0
img384,6.0
img385,4.0
img386,6.33
img387,0
img388,0
img389,8.0
img390,0
img391,0
img392,6.0
img393,6.33
img394,0
img395,0
img396,0
img397,0
img398,8.0
img399,0
img400,0
img401,0
img402,6.0
img403,0
img404,8.0
img405,0
img406,0
img407,0
img408,6.0
img409,4.0
img410,4.0
img411,0
img412,0
img413,0
img414,0
img415,0
img416,6.0
img417,4.33
img418,0
img419,0
img420,0
img421,0
img422,0
img423,0
img424,0
img425,0
img426,0
img427,0
img428,0
img429,8.0
img430,0
img431,4.0
img432,5.0
img433,0
img434,0
img435,0
img436,0
img437,4.0
img438,0
img439,0
img440,0
img441,0
img442,0
img443,4.33
img444,0
img445,0
img446,0
img447,4.0
img448,0
img449,6.0
img450,2.67
img451,0
img452,0
img453,0
img454,4.0
img455,6.0
img456,2.67
img457,0
img458,0
img459,0
img460,0
img461,0
img462,0
img463,0
img464,0
img465,3.33
img466,0
img467,4.0
img468,0
img469,0
img470,6.0
img471,7.0
img472,0
img473,2.67
img474,5.0
img475,0
img476,0
img477,0
img478,0
img479,0
img480,0
img481,4.67
img482,8.0
img483,0
img484,4.33
img485,0
img486,2.67
img487,6.0
img488,0
img489,2.67
img490,0
img491,6.0
img492,0
img493,0
img494,0
img495,4.0
img496,0
img497,0
img498,0
img499,6.0
