Img_name,Global_score
img0,0
img1,0
img2,3.0
img3,0
img4,0
img5,6.0
img6,0
img7,0
img8,2.67
img9,3.33
img10,5.67
img11,0
img12,3.33
img13,2.67
img14,3.33
img15,0
img16,0
img17,4.67
img18,0
img19,6.0
img20,4.33
img21,0
img22,0
img23,6.33
img24,4.0
img25,3.33
img26,8.0
img27,0
img28,0
img29,5.0
img30,0
img31,0
img32,0
img33,6.0
img34,0
img35,4.67
img36,5.0
img37,0
img38,0
img39,0
img40,0
img41,2.67
img42,2.67
img43,2.67
img44,0
img45,6.0
img46,0
img47,0
img48,0
img49,2.67
img50,4.33
img51,5.0
img52,0
img53,0
img54,0
img55,5.0
img56,0
img57,2.67
img58,0
img59,5.67
img60,0
img61,0
img62,6.0
img63,0
img64,3.33
img65,6.0
img66,0
img67,0
img68,0
img69,0
img70,0
img71,5.33
img72,0
img73,0
img74,2.67
img75,0
img76,0
img77,8.0
img78,0
img79,0
img80,0
img81,3.33
img82,0
img83,6.0
img84,6.33
img85,4.0
img86,0
img87,5.33
img88,3.33
img89,6.0
img90,0
img91,8.0
img92,0
img93,4.0
img94,0
img95,0
img96,0
img97,0
img98,3.33
img99,3.33
img100,0
img101,0
img102,0
img103,0
img104,7.0
img105,4.0
img106,0
img107,0
img108,6.0
img109,0
img110,5.0
img111,0
img112,4.33
img113,0
img114,6.0
img115,4.33
img116,0
img117,6.0
img118,5.67
img119,0
img120,0
img121,7.0
img122,2.67
img123,0
img124,0
img125,0
img126,2.67
img127,4.67
img128,8.0
img129,2.67
img130,0
img131,0
img132,0
img133,0
img134,4.0
img135,0
img136,3.33
img137,0
img138,0
img139,2.67
img140,0
img141,3.33
img142,4.33
img143,4.0
img144,0
img145,0
img146,2.67
img147,0
img148,4.0
img149,0
img150,0
img151,8.0
img152,0
img153,0
img154,5.0
img155,0
img156,0
img157,0
img158,3.33
img159,0
img160,5.67
img161,0
img162,0
img163,0
img164,6.33
img165,0
img166,0
img167,0
img168,0
img169,0
img170,6.0
img171,5.0
img172,6.0
img173,0
img174,6.33
img175,0
img176,0
img177,0
img178,6.0
img179,0
img180,3.33
img181,6.67
img182,0
img183,0
img184,2.67
img185,2.67
img186,2.67
img187,0
img188,3.33
img189,2.67
img190,0
img191,0
img192,0
img193,2.67
img194,0
img195,0
img196,4.67
img197,0
img198,5.33
img199,0
img200,0
img201,0
img202,0
img203,0
img204,0
img205,6.0
img206,0
img207,0
img208,0
img209,0
img210,0
img211,6.0
img212,0
img213,0
img214,0
img215,0
img216,0
img217,4.0
img218,0
img219,3.33
img220,0
img221,0
img222,0
img223,4.33
img224,0
img225,5.0
img226,4.33
img227,0
img228,0
img229,6.0
img230,0
img231,0
img232,0
img233,0
img234,0
img235,0
img236,0
img237,0
img238,0
img239,6.0
img240,2.67
img241,2.67
img242,0
img243,2.67
img244,6.67
img245,0
img246,0
img247,6.0
img248,0
img249,0
img250,0
img251,8.0
img252,4.0
img253,0
img254,0
img255,0
img256,3.33
img257,0
img258,0
img259,0
img260,6.0
img261,4.0
img262,6.0
img263,0
img264,0
img265,0
img266,0
img267,0
img268,0
img269,3.0
img270,0
img271,6.33
img272,0
img273,8.0
img274,0
img275,0
img276,6.33
img277,0
img278,0
img279,0
img280,0
img281,0
img282,5.33
img283,3.33
img284,8.0
img285,5.33
img286,0
img287,0
img288,0
img289,4.0
img290,2.67
img291,3.33
img292,0
img293,0
img294,3.33
img295,0
img296,0
img297,0
img298,0
img299,0
img300,3.33
img301,3.0
img302,0
img303,3.33
img304,0
img305,2.67
img306,6.33
img307,0
img308,8.0
img309,2.67
img310,0
img311,6.0
img312,0
img313,0
img314,0
img315,0
img316,3.33
img317,3.33
img318,2.67
img319,0
img320,0
img321,5.33
img322,3.33
img323,0
img324,0
img325,0
img326,0
img327,0
img328,0
img329,0
img330,6.0
img331,0
img332,0
img333,6.0
img334,0
img335,0
img336,0
img337,0
img338,0
img339,0
img340,5.0
img341,6.33
img342,4.67
img343,6.0
img344,0
img345,0
img346,0
img347,0
img348,4.33
img349,0
img350,0
img351,6.0
img352,0
img353,0
img354,4.0
img355,0
img356,5.0
img357,0
img358,0
img359,5.0
img360,0
img361,0
img362,5.33
img363,4.0
img364,0
img365,6.0
img366,0
img367,0
img368,0
img369,3.33
img370,0
img371,6.33
img372,8.0
img373,0
img374,0
img375,4.33
img376,0
img377,0
img378,5.33
img379,0
img380,0
img381,0
img382,0
img383,0
img384,5.0
img385,4.33
img386,2.67
img387,3.33
img388,6.0
img389,5.0
img390,3.33
img391,6.0
img392,0
img393,0
img394,0
img395,6.0
img396,0
img397,7.33
img398,2.67
img399,4.0
img400,0
img401,5.0
img402,0
img403,6.33
img404,0
img405,0
img406,0
img407,0
img408,0
img409,8.0
img410,0
img411,0
img412,4.67
img413,0
img414,2.67
img415,5.0
img416,0
img417,5.0
img418,0
img419,0
img420,0
img421,0
img422,0
img423,0
img424,6.0
img425,0
img426,0
img427,2.67
img428,0
img429,4.0
img430,5.0
img431,0
img432,0
img433,0
img434,5.33
img435,0
img436,2.67
img437,0
img438,0
img439,6.0
img440,0
img441,0
img442,6.0
img443,4.67
img444,0
img445,6.0
img446,6.0
img447,5.0
img448,0
img449,2.67
img450,7.33
img451,0
img452,6.0
img453,0
img454,3.33
img455,0
img456,0
img457,0
img458,0
img459,0
img460,0
img461,0
img462,0
img463,3.33
img464,6.0
img465,2.0
img466,2.67
img467,0
img468,4.0
img469,0
img470,6.0
img471,0
img472,0
img473,2.67
img474,6.0
img475,2.67
img476,6.0
img477,0
img478,6.0
img479,5.67
img480,0
img481,3.33
img482,0
img483,4.0
img484,4.0
img485,0
img486,6.33
img487,0
img488,0
img489,7.0
img490,4.67
img491,3.33
img492,5.0
img493,0
img494,4.0
img495,6.0
img496,3.33
img497,0
img498,0
img499,4.0
